Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,distan_parkKM,dist_schoolKM,NPisos,Estado,id,Realtor
120000000,3326,146341,PuenteAlto,Barrantes1Sur,3,2,85,150,2,"1,5","0,3",3,0,9532009,Carolina Martinez Propiedades
127500000,3534,155488,QuintaNormal,SalvadorGutiérrez&Jujuy,4,1,69,200,2,"1,4","0,3",1,1,8493024,Paula Vivanco Arenas
140000000,3880,170732,LaFlorida,ElLingue2181,3,2,68,145,3,"1,3","0,3",2,0,17187955,Silvana Guillen Propiedades
314300000,8711,383293,LaReina,HospitalMilitar/Registrocivil,4,3,110,128,3,"0,6","0,1",3,0,14748626,
273000000,7567,332927,Peñalolén,LosJardineros,4,2,250,500,4,"0,7","0,1",2,1,7742050,Helena de Troya
230000000,6375,280488,PuenteAlto,ElGenovés4569,4,2,,,2,"0,8","0,2",1,1,16386216,
75000000,2079,91463,Quilicura,PampadelTamarugal,2,1,,70,1,"2,4","0,5",2,0,17012837,Daniela Catalán Jara
330483640,9160,403029,Maipú,ManuelRodríguez,5,2,,770,8,"0,5","0,1",1,0,5964993,sandra severino herrera
75044320,2080,91517,QuintaNormal,SaraGajardo,4,1,87,150,1,"2,4","0,5",3,1,16972506,
224000000,6209,273171,LaCisterna,Angamos8342,4,2,118,165,1,"0,8","0,2",2,1,9316982,
100000000,2772,121951,Maipú,Lastresmarías,6,2,110,158,,"1,8","0,4",1,1,16909322,
559224500,15500,681981,LasCondes,SanCarlosdeApoquindo,4,3,160,252,2,"0,3","0,1",3,1,16869513,V&o Propiedades
310000000,8592,378049,Pudahuel,CalleMalta,5,4,155,395,2,"0,6","0,1",2,0,16841404,
432948000,12000,527985,LaFlorida,LasNalcasNorte8190,4,3,274,1260,6,"0,4","0,1",1,0,16832861,
793738000,22000,967973,Santiago,Serrano,9,4,440,690,2,"0,2","0,0",3,0,16622728,
159108390,4410,194035,EstaciónCentral,HernándelSolar169,3,2,98,150,2,"1,1","0,2",2,0,15380779,Rsa Gestión Inmobiliaria
130000000,3603,158537,Pudahuel,Diag.deLosLagos7085,3,2,62,180,1,"1,4","0,3",1,1,13484847,Mgh Solución Inmobiliaria
310279400,8600,378390,Colina,Sta.Elena278,3,3,118,350,3,"0,6","0,1",2,0,9196861,Behouse
136739410,3790,166755,PuenteAlto,LomaRedonda7Poniente,3,2,68,168,3,"1,3","0,3",3,1,13062226,
143955210,3990,175555,Maipú,VillaVersalles,4,2,139,130,2,"1,3","0,3",1,1,13136190,
125000000,3465,152439,Maipú,MaresdelSur,5,3,134,89,1,"1,4","0,3",2,0,16537208,
70000000,1940,85366,SanBernardo,LuisAlbertoHeiremansSur,2,1,40,59,1,"2,6","0,5",3,0,16332792,
125000000,3465,152439,Maipú,BatalladeMaipú,3,3,149,119,1,"1,4","0,3",1,1,16395601,
160000000,4435,195122,Maipú,LasVizcachas,5,2,138,200,2,"1,1","0,2",2,1,16386069,
187610800,5200,228794,Peñaflor,Penaflor,3,2,126,443,2,"1,0","0,2",3,1,16320349,
432948000,12000,527985,Talagante,CaminoCarampangue,4,2,367,5000,2,"0,4","0,1",2,1,16319597,
120000000,3326,146341,LaFlorida,LasTorcazas,4,1,82,114,1,"1,5","0,3",1,1,16269543,
85000000,2356,103659,PuenteAlto,RelojdelSolSur4102,3,2,56,110,3,"2,1","0,4",3,0,9547765,
